Order Date,Order ID,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Sales_Normalized
2015-01-02,CA-2015-140795,2015-03-02,First Class,BD-11500,Consumer,United States,Green Bay,Wisconsin,54302.0,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,0.026763441065444895
2015-01-03,CA-2015-113880,2015-05-03,Standard Class,VF-21715,Home Office,United States,Elmhurst,Illinois,60126.0,Central,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634.116,0.03620468228785522
2015-01-03,CA-2015-104269,2015-06-03,Second Class,DB-13060,Consumer,United States,Seattle,Washington,98115.0,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,0.026115875784041436
2015-01-03,CA-2015-131009,2015-05-03,Standard Class,SC-20380,Consumer,United States,El Paso,Texas,79907.0,Central,OFF-FA-10004395,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,18.84,0.0010448361811843314
2015-01-03,CA-2015-131009,2015-05-03,Standard Class,SC-20380,Consumer,United States,El Paso,Texas,79907.0,Central,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,362.25,0.020668944307442875
2015-01-03,CA-2015-131009,2015-05-03,Standard Class,SC-20380,Consumer,United States,El Paso,Texas,79907.0,Central,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,63.552,0.0035998960878302413
2015-01-03,CA-2015-168312,2015-07-03,Standard Class,GW-14605,Consumer,United States,Houston,Texas,77036.0,Central,FUR-TA-10001866,Furniture,Tables,Bevis Round Conference Room Tables and Bases,376.509,0.021483772523779966
2015-01-03,CA-2015-131009,2015-05-03,Standard Class,SC-20380,Consumer,United States,El Paso,Texas,79907.0,Central,OFF-ST-10001469,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,129.552,0.007371455262965105
2015-01-03,CA-2015-168312,2015-07-03,Standard Class,GW-14605,Consumer,United States,Houston,Texas,77036.0,Central,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,137.352,0.007817184983662863
2015-01-03,US-2015-143707,2015-05-03,Standard Class,HR-14770,Home Office,United States,New York City,New York,10035.0,East,TEC-PH-10003655,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94,0.00030766779695342596
2015-01-03,CA-2015-113880,2015-05-03,Standard Class,VF-21715,Home Office,United States,Elmhurst,Illinois,60126.0,Central,OFF-PA-10003036,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.472,0.0009666620455542633
2015-01-04,CA-2015-138359,2015-06-04,Standard Class,KH-16330,Corporate,United States,Revere,Massachusetts,2151.0,East,OFF-ST-10000636,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub,66.96,0.0037946456888735686
2015-01-04,CA-2015-138359,2015-06-04,Standard Class,KH-16330,Corporate,United States,Revere,Massachusetts,2151.0,East,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,6.24,0.0003248112477494935
2015-01-04,US-2015-157021,2015-06-04,Second Class,KM-16720,Consumer,United States,Vallejo,California,94591.0,West,OFF-BI-10000042,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",17.088,0.0009447184285352968
2015-01-04,US-2015-157021,2015-06-04,Second Class,KM-16720,Consumer,United States,Vallejo,California,94591.0,West,OFF-LA-10002312,Office Supplies,Labels,Avery 490,29.6,0.001659714616403288
2015-01-06,CA-2015-131926,2015-06-06,Second Class,DW-13480,Home Office,United States,Lakeville,Minnesota,55044.0,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,0.11436418883991067
2015-01-06,US-2015-165659,2015-06-06,Standard Class,LT-17110,Consumer,United States,Little Rock,Arkansas,72209.0,South,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,22.2,0.001236842830100288
2015-01-06,US-2015-157070,2015-06-06,Standard Class,QJ-19255,Corporate,United States,Detroit,Michigan,48234.0,Central,OFF-BI-10001765,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,138.56,0.007886215945535029
2015-01-06,US-2015-157070,2015-06-06,Standard Class,QJ-19255,Corporate,United States,Detroit,Michigan,48234.0,Central,OFF-AP-10004859,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,65.52,0.0037123571250524444
2015-01-06,CA-2015-111003,2015-06-06,Standard Class,CR-12625,Home Office,United States,Lakewood,New Jersey,8701.0,East,OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,289.2,0.016494514038600423
2015-01-06,CA-2015-111003,2015-06-06,Standard Class,CR-12625,Home Office,United States,Lakewood,New Jersey,8701.0,East,OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",45.48,0.002567174611875131
2015-01-06,CA-2015-131926,2015-06-06,Second Class,DW-13480,Home Office,United States,Lakeville,Minnesota,55044.0,Central,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88,0.0027043222182436717
2015-01-06,US-2015-165659,2015-06-06,Standard Class,LT-17110,Consumer,United States,Little Rock,Arkansas,72209.0,South,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,881.93,0.05036597267311085
2015-01-06,CA-2015-131926,2015-06-06,Second Class,DW-13480,Home Office,United States,Lakeville,Minnesota,55044.0,Central,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart,166.72,0.009495414526925905
2015-01-06,CA-2015-131926,2015-06-06,Second Class,DW-13480,Home Office,United States,Lakeville,Minnesota,55044.0,Central,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,25.92,0.001449421619971526
2015-01-06,CA-2015-131926,2015-06-06,Second Class,DW-13480,Home Office,United States,Lakeville,Minnesota,55044.0,Central,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25,0.08587120216848651
